null_name,alt_type,level,left_statistic,right_statistic,estimate,mc_se,num_pairs,n,n_eval_source,n_solve,base_seed
truncated_elliptical_t,scale,1.2,potential,w2,-0.006,0.003457152557758369,500,1000,5000,5000,2026
truncated_elliptical_t,scale,1.2,potential,mmd,-0.006,0.003457152557758369,500,1000,5000,5000,2026
truncated_elliptical_t,scale,1.2,w2,mmd,0.0,0.0,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.05,potential,w2,0.054,0.014920228766775186,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.05,potential,mmd,-0.09,0.01823362086530592,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.05,w2,mmd,-0.144,0.018953798906445427,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.1,potential,w2,0.056,0.012729968743418689,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.1,potential,mmd,-0.04,0.010818228511927104,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.1,w2,mmd,-0.096,0.014352001948154818,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.15,potential,w2,-0.002,0.002,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.15,potential,mmd,-0.002,0.002,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.15,w2,mmd,0.0,0.0,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.2,potential,w2,0.0,0.0,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.2,potential,mmd,0.0,0.0,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.2,w2,mmd,0.0,0.0,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.25,potential,w2,0.0,0.0,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.25,potential,mmd,0.0,0.0,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.25,w2,mmd,0.0,0.0,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.3,potential,w2,0.0,0.0,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.3,potential,mmd,0.0,0.0,500,1000,5000,5000,2026
truncated_gaussian,location_shift,0.3,w2,mmd,0.0,0.0,500,1000,5000,5000,2026
truncated_gaussian,mixture_contamination,0.01,potential,w2,-0.002,0.008253984281123028,500,1000,5000,5000,2026
truncated_gaussian,mixture_contamination,0.01,potential,mmd,-0.002,0.012177379732697365,500,1000,5000,5000,2026
truncated_gaussian,mixture_contamination,0.01,w2,mmd,0.0,0.01167358321554185,500,1000,5000,5000,2026
truncated_gaussian,mixture_contamination,0.02,potential,w2,-0.038,0.01172121041305437,500,1000,5000,5000,2026
truncated_gaussian,mixture_contamination,0.02,potential,mmd,-0.034,0.013343316236091862,500,1000,5000,5000,2026
truncated_gaussian,mixture_contamination,0.02,w2,mmd,0.004,0.014980548510229345,500,1000,5000,5000,2026
truncated_gaussian,mixture_contamination,0.05,potential,w2,-0.352,0.021751741919972895,500,1000,5000,5000,2026
truncated_gaussian,mixture_contamination,0.05,potential,mmd,-0.298,0.021617739319980088,500,1000,5000,5000,2026
truncated_gaussian,mixture_contamination,0.05,w2,mmd,0.054,0.020173793989427365,500,1000,5000,5000,2026
