quantity,null_name,scenario,alt_type,level,statistic,estimate,mc_se,num_replicates,alpha,critical_value,success_rate,error_rate,mean_value,median_value,n,n_eval_source,n_solve,base_seed
empirical power,truncated_elliptical_t,power,mixture_contamination,0.1,potential,0.252,0.019416281827373642,500,0.05,3.156159262212836,0.066,0.0,2.8472887490033068,2.772269313819324,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,mixture_contamination,0.1,w2,0.988,0.004869496893930627,500,0.05,0.0625430442876067,0.066,0.0,0.07570281181435677,0.0745681380392234,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,mixture_contamination,0.15,mmd,1.0,0.0,500,0.05,0.0004860741680616,1.0,0.0,0.004222105863439326,0.00407268802255865,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,mixture_contamination,0.15,potential,0.82,0.017181385275931625,500,0.05,3.156159262212836,0.068,0.0,3.6243501510946716,3.5690315589538306,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,mixture_contamination,0.15,w2,1.0,0.0,500,0.05,0.0625430442876067,0.068,0.0,0.09698732743448508,0.09612815241853565,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,mixture_contamination,0.2,mmd,1.0,0.0,500,0.05,0.0004860741680616,1.0,0.0,0.007497790879387896,0.00742509957633215,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,mixture_contamination,0.2,potential,0.998,0.001997998998998749,500,0.05,3.156159262212836,0.06,0.0,4.534976761544634,4.5270095298796225,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,mixture_contamination,0.2,w2,1.0,0.0,500,0.05,0.0625430442876067,0.06,0.0,0.12529132182654798,0.12525437133684564,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.025,mmd,0.108,0.013880633991284405,500,0.05,0.0004860741680616,1.0,0.0,0.0001353767146512055,7.149406894835231e-05,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.025,potential,0.048,0.009559916317625379,500,0.05,3.156159262212836,0.04,0.0,1.787563232621865,1.6399582411997669,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.025,w2,0.102,0.013534843922262273,500,0.05,0.0625430442876067,0.04,0.0,0.056892955350690756,0.05614898532833665,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.05,mmd,0.486,0.022351912669836556,500,0.05,0.0004860741680616,1.0,0.0,0.0005201549656935592,0.0004743745169667,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.05,potential,0.06,0.010620734437881401,500,0.05,3.156159262212836,0.05,0.0,1.9666132837679833,1.7775000683421927,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.05,w2,0.394,0.021852414054287,500,0.05,0.0625430442876067,0.05,0.0,0.06191833514030991,0.06113162310967995,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.075,mmd,0.93,0.011410521460476728,500,0.05,0.0004860741680616,1.0,0.0,0.0011491661777787193,0.00108115156155015,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.075,potential,0.096,0.013174520864152897,500,0.05,3.156159262212836,0.072,0.0,2.2312216517328483,2.098105519885622,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.075,w2,0.898,0.013534843922262271,500,0.05,0.0625430442876067,0.072,0.0,0.06986156056779837,0.0691261723506266,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.1,mmd,0.998,0.001997998998998749,500,0.05,0.0004860741680616,1.0,0.0,0.001969762817592329,0.0019170265179708499,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.1,potential,0.17,0.016798809481626965,500,0.05,3.156159262212836,0.072,0.0,2.544873512335566,2.419993525516123,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.1,w2,1.0,0.0,500,0.05,0.0625430442876067,0.072,0.0,0.08010201636271543,0.079108367139006,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.15,mmd,1.0,0.0,500,0.05,0.0004860741680616,1.0,0.0,0.004250424125411158,0.004139422054432251,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.15,potential,0.55,0.022248595461286987,500,0.05,3.156159262212836,0.062,0.0,3.295747394849592,3.2189640820593945,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.15,w2,1.0,0.0,500,0.05,0.0625430442876067,0.062,0.0,0.10867571341956012,0.10772279492635525,1000,5000,5000,2026
empirical power,truncated_elliptical_t,power,scale,1.2,mmd,1.0,0.0,500,0.05,0.0004860741680616,1.0,0.0,0.007253870750839266,0.00721557981239155,1000,5000,5000,2026
