null_name,statistic,alpha,critical_value,calibration_mean_value,calibration_std_value,calibration_median_value,calibration_B,n,n_eval_source,n_solve,base_seed
truncated_elliptical_t,mmd,0.05,0.0021432657040978,-1.9697817411435893e-05,0.0011829807956316508,-0.0002643517936129,1000,200,5000,10000,2026
truncated_elliptical_t,potential,0.05,2.440656658478689,1.4371270917396148,0.5057010665315125,1.3155408337259,1000,200,5000,10000,2026
truncated_elliptical_t,w2,0.05,0.1704731489265852,0.14536044323576847,0.014080989403662246,0.14300064652281985,1000,200,5000,10000,2026
truncated_gaussian,mmd,0.05,0.0021256478738,6.342467984659206e-06,0.0011248633184299532,-0.00026281136699785,1000,200,5000,10000,2026
truncated_gaussian,potential,0.05,1.688990786497146,1.1679151109952954,0.2825834215537617,1.1128245084589246,1000,200,5000,10000,2026
truncated_gaussian,w2,0.05,0.1574849867624503,0.1375176219380537,0.010681676521048492,0.13574821597430536,1000,200,5000,10000,2026
uniform_ball,mmd,0.05,0.0021893522621525,-4.615565948359146e-05,0.0011388641440749437,-0.00031517029650125,1000,200,5000,10000,2026
uniform_ball,potential,0.05,0.603399609297404,0.39614765427392123,0.10797243627506992,0.37805041908669135,1000,200,5000,10000,2026
uniform_ball,w2,0.05,0.0459034698893104,0.03902397195605568,0.003616015100365073,0.03855631585709225,1000,200,5000,10000,2026
truncated_elliptical_t,mmd,0.05,0.0004860741680616,-1.0993540356570381e-05,0.00026243038608791844,-7.370695097608237e-05,1000,1000,5000,5000,2026
truncated_elliptical_t,potential,0.05,3.156159262212836,1.7530320971670021,0.6900353947013668,1.5822858429121753,1000,1000,5000,5000,2026
truncated_elliptical_t,w2,0.05,0.0625430442876067,0.05461136596310941,0.004076289050059866,0.05372762040390025,1000,1000,5000,5000,2026
truncated_gaussian,mmd,0.05,0.0004331808497901,-3.499363851078886e-05,0.00023280744691292601,-9.038238878900096e-05,1000,1000,5000,5000,2026
truncated_gaussian,potential,0.05,1.9801363445849376,1.396537579234631,0.3280550339473575,1.349307347010945,1000,1000,5000,5000,2026
truncated_gaussian,w2,0.05,0.0572042510027439,0.051947339699446045,0.002922641050985087,0.05161827204769915,1000,1000,5000,5000,2026
uniform_ball,mmd,0.05,0.000342243919253,-8.136423817608296e-05,0.00021872010162560829,-0.00013004722035484998,1000,1000,5000,5000,2026
uniform_ball,potential,0.05,0.6061410082729104,0.40373899116278317,0.1049561829722218,0.3850191068169275,1000,1000,5000,5000,2026
uniform_ball,w2,0.05,0.0147685468406878,0.013392750408670308,0.0007335683968490652,0.01328042550210565,1000,1000,5000,5000,2026
