quantity,scenario,alternative,theta,estimate,mc_se,n_eval,alpha,critical_value,calibration_B,mean_T,median_T,success_rate,error_rate
empirical size,null,null,0.0,0.03,0.01705872210923198,100,0.05,0.6613963957439909,100,0.3473367963688518,0.3142881130165178,1.0,0.0
empirical power,location_shift,Y = X + theta e1,0.1,0.1,0.030000000000000002,100,0.05,0.6613963957439909,100,0.4148297142411909,0.40272581635742555,1.0,0.0
empirical power,location_shift,Y = X + theta e1,0.25,0.44,0.04963869458396343,100,0.05,0.6613963957439909,100,0.6512035714281902,0.6371613926353175,1.0,0.0
empirical power,location_shift,Y = X + theta e1,0.5,0.98,0.014000000000000005,100,0.05,0.6613963957439909,100,1.2250701003177458,1.2430796311042611,1.0,0.0
empirical power,scale,Y = (1 + theta) X,0.1,0.02,0.014,100,0.05,0.6613963957439909,100,0.3727993104942776,0.3583115162432332,1.0,0.0
empirical power,scale,Y = (1 + theta) X,0.25,0.14,0.03469870314579494,100,0.05,0.6613963957439909,100,0.4608117657147835,0.42554763603233364,1.0,0.0
empirical power,scale,Y = (1 + theta) X,0.5,0.34,0.04737087712930804,100,0.05,0.6613963957439909,100,0.6313223928259878,0.5836839771018578,1.0,0.0
empirical power,mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,0.06,0.023748684174075833,100,0.05,0.6613963957439909,100,0.380966136420899,0.3658242071575879,1.0,0.0
empirical power,mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,0.15,0.035707142142714254,100,0.05,0.6613963957439909,100,0.4495980310946339,0.4093709480369928,1.0,0.0
empirical power,mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.5,0.52,0.049959983987187186,100,0.05,0.6613963957439909,100,0.6898270394197907,0.7036934832047816,1.0,0.0
