quantity,scenario,alternative,theta,estimate,mc_se,n_eval,alpha,critical_value,calibration_B,mean_T,median_T,success_rate,error_rate
empirical size,null,null,0.0,0.03,0.01705872210923198,100,0.05,0.4713251919758344,1000,0.2943363759188146,0.2755332662545158,0.0,0.0
empirical power,location_shift,Y = X + theta e1,0.1,1.0,0.0,100,0.05,0.4713251919758344,1000,2.0919543074682663,2.0841323475133122,0.0,0.0
empirical power,location_shift,Y = X + theta e1,0.25,1.0,0.0,100,0.05,0.4713251919758344,1000,5.299089266700455,5.317198447333318,0.0,0.0
empirical power,location_shift,Y = X + theta e1,0.5,1.0,0.0,100,0.05,0.4713251919758344,1000,10.251358273134747,10.264134224257248,0.0,0.0
empirical power,scale,Y = (1 + theta) X,0.1,1.0,0.0,100,0.05,0.4713251919758344,1000,0.6769673045489963,0.6722625548499657,0.0,0.0
empirical power,scale,Y = (1 + theta) X,0.25,1.0,0.0,100,0.05,0.4713251919758344,1000,1.5466686093476931,1.5461646160213975,0.0,0.0
empirical power,scale,Y = (1 + theta) X,0.5,1.0,0.0,100,0.05,0.4713251919758344,1000,3.0717153357502496,3.073885018667814,0.0,0.0
empirical power,mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,0.95,0.021794494717703377,100,0.05,0.4713251919758344,1000,0.8803253725614382,0.8771872211990297,0.0,0.0
empirical power,mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,1.0,0.0,100,0.05,0.4713251919758344,1000,2.4292487168786936,2.4469566054768865,0.0,0.0
empirical power,mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.5,1.0,0.0,100,0.05,0.4713251919758344,1000,5.254460533893112,5.241327041353063,0.0,0.0
