d,n,b,seed,loss,success,status,message,nit,fun,grad_inf,beta,runtime_seconds,error_message
2,100,0,3002026,0.039286000320506415,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,119,0.2393101296496865,0.0002000000000000005,0.1,17.516174793243408,
2,100,1,3002027,0.02508279425128714,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,75,0.24162654221903077,9.99999999999994e-05,0.1,0.8623301982879639,
2,100,2,3002028,0.04330827679967291,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102,0.23775467796930003,0.0002000000000000005,0.1,1.0680558681488037,
2,100,3,3002029,0.03752996578925289,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,131,0.23734369280066125,0.0002000000000000005,0.1,1.2301051616668701,
2,100,4,3002030,0.039713994262546494,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0.23640822719236435,9.99999999999994e-05,0.1,0.9597525596618652,
2,100,5,3002031,0.026994479080114292,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,101,0.23839218925654754,9.99999999999994e-05,0.1,0.9206042289733887,
2,100,6,3002032,0.050811793723137204,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,140,0.23679186816764522,0.0002000000000000005,0.1,1.287616491317749,
2,100,7,3002033,0.020045107600983304,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,143,0.24224999577739437,0.0002000000000000005,0.1,1.3097984790802002,
2,100,8,3002034,0.029002543442121373,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,114,0.2387976360155364,9.99999999999994e-05,0.1,1.0566918849945068,
2,100,9,3002035,0.038784342169807313,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0.23798127844706982,9.99999999999994e-05,0.1,0.9469759464263916,
2,100,10,3002036,0.03227352323522472,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,177,0.2356062698049288,0.0002000000000000005,0.1,1.677588701248169,
2,100,11,3002037,0.03306533245342054,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,133,0.239469287860152,0.0002000000000000005,0.1,1.2282929420471191,
2,100,12,3002038,0.04050881880264587,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,163,0.2359400066808089,0.0002000000000000005,0.1,1.499882698059082,
2,100,13,3002039,0.049231395122069845,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0.23590746948101468,9.99999999999994e-05,0.1,0.9452548027038574,
2,100,14,3002040,0.03387631590878818,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,146,0.23908953740306352,9.99999999999994e-05,0.1,1.333998441696167,
2,100,15,3002041,0.02707788044272658,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126,0.23879073233117823,0.0002000000000000005,0.1,1.1348519325256348,
2,100,16,3002042,0.042148846205486236,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0.23417536330115662,9.99999999999994e-05,0.1,0.9855830669403076,
2,100,17,3002043,0.03859153978835325,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,137,0.23623855107372338,0.0002000000000000005,0.1,1.3979027271270752,
2,100,18,3002044,0.03699754008967223,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,127,0.2391787736240954,9.99999999999994e-05,0.1,1.3290932178497314,
2,100,19,3002045,0.02861283876294686,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,169,0.23964277596043962,9.99999999999994e-05,0.1,1.7981855869293213,
2,100,20,3002046,0.031951395533376725,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,95,0.2402195194056015,9.99999999999994e-05,0.1,1.0092554092407227,
2,100,21,3002047,0.039099389276006216,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,132,0.23723817703102767,0.00020000000000000052,0.1,1.362720012664795,
2,100,22,3002048,0.022895769383602885,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,129,0.2404334447768682,0.0002000000000000005,0.1,1.3408193588256836,
2,100,23,3002049,0.02857090773891826,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,131,0.24036848566610738,9.99999999999994e-05,0.1,1.3798725605010986,
2,100,24,3002050,0.04137914049500064,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,127,0.2378545613846689,9.99999999999994e-05,0.1,1.3435497283935547,
2,100,25,3002051,0.056342337246966044,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,115,0.236229038599865,9.99999999999994e-05,0.1,1.22340989112854,
2,100,26,3002052,0.05480810921507292,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,130,0.23160666183173398,0.00020000000000000052,0.1,1.350888729095459,
2,100,27,3002053,0.014375182671752265,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,85,0.24176691694266123,9.99999999999994e-05,0.1,0.8690335750579834,
2,100,28,3002054,0.03620247322521741,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,139,0.2385609470017398,9.99999999999994e-05,0.1,1.465674638748169,
2,100,29,3002055,0.03992107155697693,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,139,0.2385026265697345,9.99999999999994e-05,0.1,1.4877002239227295,
2,100,30,3002056,0.020749016511130553,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,164,0.24160064608423845,9.99999999999994e-05,0.1,1.6077814102172852,
2,100,31,3002057,0.025602537468549236,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,109,0.24105920234575096,0.0002000000000000005,0.1,1.039924144744873,
2,100,32,3002058,0.029350757432147566,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,97,0.23974682036309122,9.99999999999994e-05,0.1,0.8798730373382568,
2,100,33,3002059,0.041934462376364744,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,99,0.2367419629659691,0.0002000000000000005,0.1,0.931952714920044,
2,100,34,3002060,0.05234470190090019,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,138,0.23598827566020272,9.99999999999994e-05,0.1,1.2808070182800293,
2,100,35,3002061,0.01603371735225617,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,147,0.242533464878005,9.99999999999994e-05,0.1,1.3867974281311035,
2,100,36,3002062,0.036825058837577015,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,97,0.23933648803969781,9.99999999999994e-05,0.1,0.9260733127593994,
2,100,37,3002063,0.03504296440573711,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,128,0.23988366385328877,9.99999999999994e-05,0.1,1.1646530628204346,
2,100,38,3002064,0.012110401096547303,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,133,0.24255372392962532,9.99999999999994e-05,0.1,1.3647675514221191,
2,100,39,3002065,0.04099330778658632,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,162,0.2361807984419744,9.99999999999994e-05,0.1,1.6984078884124756,
2,100,40,3002066,0.11066741692456698,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,130,0.20946099581647737,9.99999999999994e-05,0.1,1.3990657329559326,
2,100,41,3002067,0.0313360806683223,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,123,0.23633266632894992,0.0002000000000000005,0.1,1.2513511180877686,
2,100,42,3002068,0.021272387599911964,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,125,0.24212971387933885,0.00020000000000000055,0.1,1.2935388088226318,
2,100,43,3002069,0.025795926065261862,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,175,0.2395544230436996,0.0002000000000000005,0.1,1.6525917053222656,
2,100,44,3002070,0.03152250404658948,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,127,0.23790798543906175,0.0002000000000000005,0.1,1.1636848449707031,
2,100,45,3002071,0.018074581643551395,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,79,0.24201335134031415,0.00020000000000000052,0.1,0.7477419376373291,
2,100,46,3002072,0.04130399369730343,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,86,0.23745102068074342,9.99999999999994e-05,0.1,0.8817720413208008,
2,100,47,3002073,0.031782256288523054,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,99,0.23506974674510125,0.0002000000000000005,0.1,1.0616934299468994,
2,100,48,3002074,0.0355012008051851,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,111,0.23798220702252884,9.99999999999994e-05,0.1,1.1421444416046143,
2,100,49,3002075,0.0415802211608711,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,148,0.23673273452757657,0.0002000000000000005,0.1,1.6214327812194824,
2,100,50,3002076,0.029978658486325638,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,131,0.24097485799096452,0.0002000000000000005,0.1,1.4193570613861084,
2,100,51,3002077,0.04375306168302841,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,132,0.23839854309337016,9.99999999999994e-05,0.1,1.4427921772003174,
2,100,52,3002078,0.06701245201717977,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,98,0.23119912219030028,9.99999999999994e-05,0.1,1.0447075366973877,
2,100,53,3002079,0.026309327729875372,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102,0.23960037454624347,9.99999999999994e-05,0.1,1.0976457595825195,
2,100,54,3002080,0.023502918506642316,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,101,0.24057024402476618,0.00020000000000000055,0.1,1.0914583206176758,
2,100,55,3002081,0.018517052819855346,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,93,0.24262773344911565,9.99999999999994e-05,0.1,1.0198516845703125,
2,100,56,3002082,0.05845755278053496,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,161,0.23430358376346166,0.0002000000000000005,0.1,1.7525250911712646,
2,100,57,3002083,0.04299358473689975,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,157,0.23415038737616742,9.99999999999994e-05,0.1,1.816620111465454,
2,100,58,3002084,0.02703996492600353,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126,0.24120582663285403,0.0002000000000000005,0.1,1.9072086811065674,
2,100,59,3002085,0.02184486805384808,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,114,0.23953285074362102,9.99999999999994e-05,0.1,1.3111209869384766,
2,100,60,3002086,0.027421185885278736,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126,0.2393712722770959,9.99999999999994e-05,0.1,1.3940775394439697,
2,100,61,3002087,0.03245002019393183,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,86,0.23872325861375338,0.00020000000000000052,0.1,0.9917275905609131,
2,100,62,3002088,0.030543420804570304,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,141,0.23950950359038817,0.0002000000000000005,0.1,1.540177822113037,
2,100,63,3002089,0.04219665067591249,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,87,0.23828945196168042,0.00020000000000000052,0.1,0.9535698890686035,
2,100,64,3002090,0.03134213694421725,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,159,0.23900944827918716,9.99999999999994e-05,0.1,1.7792012691497803,
2,100,65,3002091,0.02345964750567608,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,88,0.2411020299408669,9.99999999999994e-05,0.1,0.9813699722290039,
2,100,66,3002092,0.031515565776542506,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,175,0.23971793854939097,9.99999999999994e-05,0.1,2.0087459087371826,
2,100,67,3002093,0.015226793906923308,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,83,0.2430508539570094,9.99999999999994e-05,0.1,0.8676037788391113,
2,100,68,3002094,0.03531624393364993,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,166,0.2376742012380014,0.0002000000000000005,0.1,1.7356634140014648,
2,100,69,3002095,0.0410173562843906,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,87,0.23893763376849805,0.0002999999999999999,0.1,0.9388093948364258,
2,100,70,3002096,0.0555497821591603,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,143,0.23501046590943384,9.99999999999994e-05,0.1,1.4663782119750977,
2,100,71,3002097,0.03826960203608788,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,131,0.23813185535784173,9.99999999999994e-05,0.1,1.384737253189087,
2,100,72,3002098,0.06344492700510837,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,109,0.23123280674910138,0.0002000000000000005,0.1,1.1429228782653809,
2,100,73,3002099,0.05717435909860217,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,150,0.23533055752514884,9.99999999999994e-05,0.1,1.6252715587615967,
2,100,74,3002100,0.0181737192004286,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,103,0.24140872468551128,9.99999999999994e-05,0.1,1.1031749248504639,
2,100,75,3002101,0.050499039514839264,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,70,0.2353968627377466,0.0002000000000000005,0.1,0.7170612812042236,
2,100,76,3002102,0.03692900152065964,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,137,0.23890062367820414,0.0002000000000000005,0.1,1.4278733730316162,
