d,n,b,seed,loss,success,status,message,nit,fun,grad_inf,beta,runtime_seconds,error_message
3,3000,0,33002026,0.004081949001770466,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,0.29658854289466,0.0004666666666666667,0.018257418583505537,24.536645650863647,
3,3000,1,33002027,0.004699039080062748,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,0.29651885118028487,0.0004666666666666667,0.018257418583505537,24.39483094215393,
3,3000,2,33002028,0.005402593532134396,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,0.29648870911786157,0.0003333333333333333,0.018257418583505537,24.439350605010986,
3,3000,3,33002029,0.004919905894972716,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,0.29649298204840796,0.0004666666666666667,0.018257418583505537,24.458831071853638,
3,3000,4,33002030,0.007100062250913095,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,0.2964096295793776,0.0004666666666666667,0.018257418583505537,24.47058653831482,
3,3000,5,33002031,0.0038501893758967325,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,0.2966684356032599,0.0004666666666666667,0.018257418583505537,24.502326011657715,
3,3000,6,33002032,0.0049427849497859595,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,0.2964768048104555,0.0004666666666666667,0.018257418583505537,24.40666365623474,
3,3000,7,33002033,0.003384502028252944,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,0.29672556911423975,0.0004666666666666667,0.018257418583505537,24.818395137786865,
3,3000,8,33002034,0.005013595469958939,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,0.2964426711585326,0.0004666666666666667,0.018257418583505537,25.386449575424194,
3,3000,9,33002035,0.003965115916258955,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,0.29666247024789755,0.0004666666666666667,0.018257418583505537,25.11565852165222,
3,3000,10,33002036,0.005804190710950085,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,0.29640671777169864,0.0004666666666666667,0.018257418583505537,24.94245719909668,
3,3000,11,33002037,0.004039579326566155,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,0.2966168946911813,0.0004666666666666667,0.018257418583505537,24.988434076309204,
3,3000,12,33002038,0.005468036250648614,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,0.2964668660453525,0.0004666666666666667,0.018257418583505537,24.573915481567383,
3,3000,13,33002039,0.0043847734600414865,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,0.2965445763021823,0.0006666666666666668,0.018257418583505537,24.61679697036743,
