null_name,scenario,alt_type,level,replicate,seed,statistic,value,critical_value,reject,runtime_seconds,success,status,message,nit,nfev,njev,fun,grad_inf,error_message,n,n_eval_source,n_solve,base_seed
uniform_ball,power,mixture_contamination,0.15,0,3317033,potential,0.2605030740074601,0.3280336727174123,False,0.0015120506286621094,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,12,12,0.09317886428786773,0.0,,4,16,16,2033
uniform_ball,power,mixture_contamination,0.15,0,3317033,w2,0.404341215248979,0.4780765779676139,False,0.001516580581665039,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,12,12,0.09317886428786773,0.0,,4,16,16,2033
uniform_ball,power,mixture_contamination,0.15,0,3317033,mmd,-0.04789153195548934,-0.0370901624143036,False,0.0015192031860351562,True,0,,0,0,0,,,,4,16,16,2033
