d,n,b,seed,loss,success,status,message,nit,fun,grad_inf,beta,runtime_seconds,error_message
6,3000,0,36002026,0.014830958219660354,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.33696555536840384,0.00023333333333333333,4.4445790068537665,434.14229345321655,
6,3000,1,36002027,0.014666506681874096,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.336924583262387,0.0001666666666666667,4.4445790068537665,433.34318494796753,
6,3000,2,36002028,0.015220071883585104,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.3371087123084506,0.0001666666666666667,4.4445790068537665,434.9359953403473,
6,3000,3,36002029,0.014276882516955027,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.336989889542307,0.0001666666666666667,4.4445790068537665,434.04535722732544,
6,3000,4,36002030,0.013740226317287928,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,958,0.3373432359637679,0.0002666666666666666,4.4445790068537665,417.66085624694824,
6,3000,5,36002031,0.014321936734438134,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.3371504838961072,0.00023333333333333333,4.4445790068537665,443.6878752708435,
6,3000,6,36002032,0.014747644617719618,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.3369181151147884,0.0002666666666666666,4.4445790068537665,445.0631277561188,
6,3000,7,36002033,0.014799722630258208,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.3373082595161899,0.0002666666666666666,4.4445790068537665,445.13146138191223,
6,3000,8,36002034,0.014809790616885334,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.33704429381393114,0.00023333333333333333,4.4445790068537665,444.23407912254333,
6,3000,9,36002035,0.014220291030746148,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.3369541221148718,0.0003333333333333333,4.4445790068537665,445.0861430168152,
6,3000,10,36002036,0.015873847533296202,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.33677586685263994,0.00023333333333333333,4.4445790068537665,443.55315470695496,
6,3000,11,36002037,0.013759296278125185,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.3374598060758729,0.00023333333333333333,4.4445790068537665,443.00650668144226,
6,3000,12,36002038,0.014030322465367874,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.33702580470116106,0.0001666666666666667,4.4445790068537665,443.43211817741394,
6,3000,13,36002039,0.013488605951912211,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.3374979963200961,0.0001666666666666667,4.4445790068537665,438.8049545288086,
6,3000,14,36002040,0.01434886297437742,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.33723183344740176,0.00023333333333333333,4.4445790068537665,433.818311214447,
6,3000,15,36002041,0.01384471047266416,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.33738452569469973,0.0001666666666666667,4.4445790068537665,433.85148453712463,
6,3000,16,36002042,0.014392316945006837,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.3368372675111129,0.0001666666666666667,4.4445790068537665,435.5143074989319,
6,3000,17,36002043,0.01433269349999415,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.3369942429654155,0.00023333333333333333,4.4445790068537665,436.6849298477173,
6,3000,18,36002044,0.014282574497937605,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.3369897646978686,0.00023333333333333333,4.4445790068537665,436.5579833984375,
6,3000,19,36002045,0.014004156453434951,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,0.3371990215360006,0.00023333333333333333,4.4445790068537665,435.248419046402,
