d,n,B,mean_loss,std_loss,se_loss,beta,mean_loss_over_beta
2,16,2,0.09107245290543667,0.0433087399959093,0.030623903735752512,0.25,0.3642898116217467
2,32,2,0.051949971809521156,0.01647225947571751,0.011647646376744215,0.1767766952966369,0.2938734187916991
