scenario,replicate,seed,T,centered_l1,success,status,message,nit,fun,grad_inf,runtime_seconds,error_message
calibration_null,0,2027,0.24871650548339388,0.004540921349237072,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2965855412137823,0.0004666666666666667,25.983123064041138,
calibration_null,1,2028,0.22134572498189667,0.004041201552663986,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2965144123825594,0.0004666666666666667,26.195898294448853,
calibration_null,2,2029,0.408189035750643,0.007452478086896996,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2963342432753833,0.0004666666666666667,26.118950843811035,
calibration_null,3,2030,0.20928690871753858,0.0038210386965040156,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2965872104296449,0.0004666666666666667,26.11305046081543,
calibration_null,4,2031,0.22260911191048818,0.0040642677366522105,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2966143081853177,0.0004666666666666667,26.108811855316162,
calibration_null,5,2032,0.2579109572762232,0.00470878830426462,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2964829105117492,0.0004666666666666667,26.210360288619995,
calibration_null,6,2033,0.2086309239530796,0.003809062108074886,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29661316027603624,0.0004666666666666667,26.11917018890381,
calibration_null,7,2034,0.3449486991508576,0.006297872790232927,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2965956018780028,0.0004666666666666667,26.11348867416382,
calibration_null,8,2035,0.22718596856656667,0.004147829324418939,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29656940085804256,0.0004666666666666667,26.116533517837524,
calibration_null,9,2036,0.6391142692675558,0.011668576736709034,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29611242078320327,0.0004666666666666667,26.116396188735962,
calibration_null,10,2037,0.515608394390999,0.009413678281565677,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29614092381427226,0.0006666666666666668,26.206936836242676,
calibration_null,11,2038,0.39708854079571154,0.00724981170402072,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29632307721700074,0.0004666666666666667,26.116947412490845,
calibration_null,12,2039,0.32421779457169503,0.005919379987716445,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29645569089971,0.0004666666666666667,26.11737322807312,
calibration_null,13,2040,0.25256555028599276,0.004611194971344786,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29653428135134324,0.0004666666666666667,26.11202359199524,
calibration_null,14,2041,0.6231601504448854,0.011377295711232556,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29618929401852884,0.0004666666666666667,26.216567277908325,
calibration_null,15,2042,0.2680981546944094,0.004894780231721252,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29650968257778637,0.0004666666666666667,26.12515687942505,
