scenario,alternative,theta,replicate,seed,reject,T,centered_l1,success,status,message,nit,fun,grad_inf,critical_value,runtime_seconds,error_message
null,null,0.0,0,302026,False,0.23319693498384433,0.004257574054390572,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29662127313414965,0.0004666666666666667,0.4713251919758344,25.301921844482422,
location_shift,Y = X + theta e1,0.1,0,402026,True,2.2695026778740868,0.04143526036633393,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29089471917459214,0.0004666666666666667,0.4713251919758344,25.309451818466187,
location_shift,Y = X + theta e1,0.25,0,402027,True,5.368094117055641,0.0980075412907384,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2638087217974388,0.0004666666666666667,0.4713251919758344,25.200514316558838,
location_shift,Y = X + theta e1,0.5,0,402028,True,9.751063711503887,0.17802925181535753,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.18080522238922273,0.0014666666666666667,0.4713251919758344,25.433006048202515,
scale,Y = (1 + theta) X,0.1,0,402029,True,0.6838762647715643,0.01248581522525871,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29325307787868193,0.0004666666666666667,0.4713251919758344,25.155684232711792,
scale,Y = (1 + theta) X,0.25,0,402030,True,1.5763310414907044,0.028779735650669023,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.27656052225636124,0.0003333333333333333,0.4713251919758344,25.187125205993652,
scale,Y = (1 + theta) X,0.5,0,402031,True,3.0093696189202226,0.054943320805111044,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.22189010569513462,0.0008666666666666666,0.4713251919758344,25.022862434387207,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,0,402032,True,0.8054740245377501,0.014705876424126513,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29445630853627147,0.0004666666666666667,0.4713251919758344,25.37453055381775,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,0,402033,True,2.5901257643633997,0.047289010263904814,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2859974434056113,0.0004666666666666667,0.4713251919758344,25.29366946220398,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.5,0,402034,True,5.062258384711161,0.09242377030753227,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2643861405824202,0.0004666666666666667,0.4713251919758344,25.196157693862915,
null,null,0.0,1,302027,False,0.26340246828809744,0.004809049119464338,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2965306042508203,0.0004666666666666667,0.4713251919758344,25.26233220100403,
