scenario,alternative,theta,replicate,seed,reject,T,centered_l1,success,status,message,nit,fun,grad_inf,critical_value,runtime_seconds,error_message
null,null,0.0,0,302026,False,0.32075888476323317,0.05670269563547913,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,50,0.2214702325800551,0.0,0.6613963957439909,0.05492281913757324,
location_shift,Y = X + theta e1,0.1,0,402026,False,0.1940278185197718,0.034299596553540854,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,64,0.22734297025480152,0.0,0.6613963957439909,0.07226371765136719,
location_shift,Y = X + theta e1,0.25,0,402027,True,0.6764602943479086,0.11958241533421352,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48,0.1869021106371109,0.00048828125,0.6613963957439909,0.05358719825744629,
location_shift,Y = X + theta e1,0.5,0,402028,True,1.340698323568075,0.23700421903010543,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,68,0.07932917546655427,0.000244140625,0.6613963957439909,0.0815877914428711,
scale,Y = (1 + theta) X,0.1,0,402029,False,0.5927999964570317,0.10479322434553212,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,65,0.19331475733945186,0.000244140625,0.6613963957439909,0.07403731346130371,
scale,Y = (1 + theta) X,0.25,0,402030,False,0.5347952905797023,0.09453934412888441,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,48,0.19848222265794413,0.0,0.6613963957439909,0.052512407302856445,
scale,Y = (1 + theta) X,0.5,0,402031,False,0.4282769028342522,0.07570937555491795,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,95,0.16269848371252038,0.000244140625,0.6613963957439909,0.11030459403991699,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,0,402032,False,0.32383014303452223,0.057245622523080075,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,73,0.22037120845916292,0.000244140625,0.6613963957439909,0.09198999404907227,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,0,402033,False,0.34957856740284504,0.06179734389200757,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,84,0.2195077805312582,0.000244140625,0.6613963957439909,0.10339045524597168,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.5,0,402034,True,1.0506828358354579,0.18573623952389107,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64,0.14112392113077196,0.000244140625,0.6613963957439909,0.07326698303222656,
