Python executable: /burg-archive/home/ss6574/.conda/envs/ot-exp/bin/python
Python version: 3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]
otexp package: /burg-archive/home/ss6574/L1-rates-ot-potentials/src/otexp/__init__.py
Running new_d dimension d=2, task=0
[trial] d=2, n=100, b=73/100, runtime=1.20s, success=True, nit=109, nfev=114
[trial] d=2, n=100, b=74/100, runtime=1.86s, success=True, nit=150, nfev=162
[trial] d=2, n=100, b=75/100, runtime=1.29s, success=True, nit=103, nfev=111
[trial] d=2, n=100, b=76/100, runtime=0.78s, success=True, nit=70, nfev=72
[trial] d=2, n=100, b=77/100, runtime=1.52s, success=True, nit=137, nfev=143
[trial] d=2, n=100, b=78/100, runtime=1.48s, success=True, nit=133, nfev=138
[trial] d=2, n=100, b=79/100, runtime=1.44s, success=True, nit=125, nfev=135
[trial] d=2, n=100, b=80/100, runtime=1.54s, success=True, nit=135, nfev=149
[trial] d=2, n=100, b=81/100, runtime=1.71s, success=True, nit=153, nfev=166
[trial] d=2, n=100, b=82/100, runtime=1.51s, success=True, nit=133, nfev=147
[trial] d=2, n=100, b=83/100, runtime=1.35s, success=True, nit=123, nfev=130
[trial] d=2, n=100, b=84/100, runtime=1.25s, success=True, nit=109, nfev=118
[trial] d=2, n=100, b=85/100, runtime=1.16s, success=True, nit=103, nfev=111
[trial] d=2, n=100, b=86/100, runtime=1.68s, success=True, nit=150, nfev=160
[trial] d=2, n=100, b=87/100, runtime=1.20s, success=True, nit=108, nfev=113
[trial] d=2, n=100, b=88/100, runtime=0.85s, success=True, nit=77, nfev=81
[trial] d=2, n=100, b=89/100, runtime=1.43s, success=True, nit=127, nfev=135
[trial] d=2, n=100, b=90/100, runtime=1.15s, success=True, nit=100, nfev=110
[trial] d=2, n=100, b=91/100, runtime=1.45s, success=True, nit=130, nfev=135
[trial] d=2, n=100, b=92/100, runtime=1.39s, success=True, nit=121, nfev=127
[trial] d=2, n=100, b=93/100, runtime=1.78s, success=True, nit=160, nfev=168
[trial] d=2, n=100, b=94/100, runtime=1.17s, success=True, nit=102, nfev=110
[trial] d=2, n=100, b=95/100, runtime=1.39s, success=True, nit=120, nfev=131
[trial] d=2, n=100, b=96/100, runtime=1.32s, success=True, nit=116, nfev=125
[trial] d=2, n=100, b=97/100, runtime=1.30s, success=True, nit=114, nfev=122
[trial] d=2, n=100, b=98/100, runtime=2.19s, success=True, nit=190, nfev=207
[trial] d=2, n=100, b=99/100, runtime=1.29s, success=True, nit=114, nfev=123
[trial] d=2, n=100, b=100/100, runtime=1.32s, success=True, nit=119, nfev=125
[trial] d=2, n=300, b=1/100, runtime=15.02s, success=True, nit=328, nfev=333
[trial] d=2, n=300, b=2/100, runtime=16.79s, success=True, nit=367, nfev=371
[trial] d=2, n=300, b=3/100, runtime=11.46s, success=True, nit=255, nfev=258
[trial] d=2, n=300, b=4/100, runtime=12.38s, success=True, nit=272, nfev=276
[trial] d=2, n=300, b=5/100, runtime=10.80s, success=True, nit=234, nfev=241
[trial] d=2, n=300, b=6/100, runtime=12.20s, success=True, nit=274, nfev=277
[trial] d=2, n=300, b=7/100, runtime=11.27s, success=True, nit=255, nfev=260
[trial] d=2, n=300, b=8/100, runtime=12.50s, success=True, nit=286, nfev=290
[trial] d=2, n=300, b=9/100, runtime=14.64s, success=True, nit=353, nfev=357
[trial] d=2, n=300, b=10/100, runtime=12.35s, success=True, nit=307, nfev=310
[trial] d=2, n=300, b=11/100, runtime=9.54s, success=True, nit=235, nfev=239
[trial] d=2, n=300, b=12/100, runtime=10.33s, success=True, nit=255, nfev=259
[trial] d=2, n=300, b=13/100, runtime=10.86s, success=True, nit=269, nfev=273
[trial] d=2, n=300, b=14/100, runtime=10.22s, success=True, nit=252, nfev=257
[trial] d=2, n=300, b=15/100, runtime=10.03s, success=True, nit=248, nfev=252
[trial] d=2, n=300, b=16/100, runtime=12.73s, success=True, nit=322, nfev=325
[trial] d=2, n=300, b=17/100, runtime=10.53s, success=True, nit=267, nfev=270
[trial] d=2, n=300, b=18/100, runtime=11.94s, success=True, nit=303, nfev=306
[trial] d=2, n=300, b=19/100, runtime=19.72s, success=True, nit=501, nfev=506
[trial] d=2, n=300, b=20/100, runtime=10.03s, success=True, nit=254, nfev=257
[trial] d=2, n=300, b=21/100, runtime=14.93s, success=True, nit=380, nfev=383
[trial] d=2, n=300, b=22/100, runtime=7.71s, success=True, nit=193, nfev=196
[trial] d=2, n=300, b=23/100, runtime=13.57s, success=True, nit=344, nfev=348
[trial] d=2, n=300, b=24/100, runtime=10.26s, success=True, nit=259, nfev=263
[trial] d=2, n=300, b=25/100, runtime=15.04s, success=True, nit=382, nfev=386
[trial] d=2, n=300, b=26/100, runtime=11.47s, success=True, nit=285, nfev=294
[trial] d=2, n=300, b=27/100, runtime=8.87s, success=True, nit=224, nfev=227
[trial] d=2, n=300, b=28/100, runtime=15.34s, success=True, nit=375, nfev=380
[trial] d=2, n=300, b=29/100, runtime=14.82s, success=True, nit=360, nfev=363
[trial] d=2, n=300, b=30/100, runtime=11.42s, success=True, nit=274, nfev=277
[trial] d=2, n=300, b=31/100, runtime=9.55s, success=True, nit=226, nfev=229
[trial] d=2, n=300, b=32/100, runtime=10.55s, success=True, nit=269, nfev=273
[trial] d=2, n=300, b=33/100, runtime=14.59s, success=True, nit=380, nfev=383
[trial] d=2, n=300, b=34/100, runtime=11.13s, success=True, nit=288, nfev=292
[trial] d=2, n=300, b=35/100, runtime=6.65s, success=True, nit=171, nfev=174
[trial] d=2, n=300, b=36/100, runtime=7.42s, success=True, nit=191, nfev=194
[trial] d=2, n=300, b=37/100, runtime=11.60s, success=True, nit=295, nfev=304
[trial] d=2, n=300, b=38/100, runtime=10.93s, success=True, nit=283, nfev=286
[trial] d=2, n=300, b=39/100, runtime=13.24s, success=True, nit=339, nfev=347
[trial] d=2, n=300, b=40/100, runtime=11.46s, success=True, nit=294, nfev=300
[trial] d=2, n=300, b=41/100, runtime=14.80s, success=True, nit=384, nfev=388
[trial] d=2, n=300, b=42/100, runtime=16.69s, success=True, nit=426, nfev=436
[trial] d=2, n=300, b=43/100, runtime=6.39s, success=True, nit=165, nfev=168
[trial] d=2, n=300, b=44/100, runtime=8.91s, success=True, nit=229, nfev=235
[trial] d=2, n=300, b=45/100, runtime=8.30s, success=True, nit=215, nfev=219
[trial] d=2, n=300, b=46/100, runtime=12.37s, success=True, nit=321, nfev=327
[trial] d=2, n=300, b=47/100, runtime=16.77s, success=True, nit=437, nfev=443
[trial] d=2, n=300, b=48/100, runtime=5.69s, success=True, nit=147, nfev=150
[trial] d=2, n=300, b=49/100, runtime=10.23s, success=True, nit=266, nfev=270
[trial] d=2, n=300, b=50/100, runtime=13.29s, success=True, nit=341, nfev=351
[trial] d=2, n=300, b=51/100, runtime=10.80s, success=True, nit=279, nfev=285
[trial] d=2, n=300, b=52/100, runtime=11.59s, success=True, nit=302, nfev=306
[trial] d=2, n=300, b=53/100, runtime=9.79s, success=True, nit=253, nfev=258
[trial] d=2, n=300, b=54/100, runtime=10.22s, success=True, nit=264, nfev=267
[trial] d=2, n=300, b=55/100, runtime=12.11s, success=True, nit=314, nfev=319
[trial] d=2, n=300, b=56/100, runtime=11.49s, success=True, nit=300, nfev=303
[trial] d=2, n=300, b=57/100, runtime=13.93s, success=True, nit=361, nfev=367
[trial] d=2, n=300, b=58/100, runtime=13.50s, success=True, nit=353, nfev=356
[trial] d=2, n=300, b=59/100, runtime=14.05s, success=True, nit=366, nfev=371
[trial] d=2, n=300, b=60/100, runtime=11.89s, success=True, nit=310, nfev=314
[trial] d=2, n=300, b=61/100, runtime=11.57s, success=True, nit=300, nfev=305
[trial] d=2, n=300, b=62/100, runtime=9.72s, success=True, nit=250, nfev=256
[trial] d=2, n=300, b=63/100, runtime=13.19s, success=True, nit=344, nfev=347
[trial] d=2, n=300, b=64/100, runtime=7.52s, success=True, nit=192, nfev=195
[trial] d=2, n=300, b=65/100, runtime=12.45s, success=True, nit=324, nfev=327
[trial] d=2, n=300, b=66/100, runtime=17.64s, success=True, nit=460, nfev=464
[trial] d=2, n=300, b=67/100, runtime=7.37s, success=True, nit=188, nfev=193
[trial] d=2, n=300, b=68/100, runtime=10.49s, success=True, nit=269, nfev=275
[trial] d=2, n=300, b=69/100, runtime=14.28s, success=True, nit=370, nfev=374
[trial] d=2, n=300, b=70/100, runtime=10.35s, success=True, nit=267, nfev=271
