Python executable: /burg-archive/home/ss6574/.conda/envs/ot-exp/bin/python
Python version: 3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]
otexp package: /burg-archive/home/ss6574/L1-rates-ot-potentials/src/otexp/__init__.py
Running new_d dimension d=2, task=0
[resume] d=2, n=10000, b=[0, 100): found 5/100 completed trials
[trial] d=2, n=10000, b=73/100, runtime=853.96s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=74/100, runtime=853.53s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=75/100, runtime=853.66s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=76/100, runtime=853.92s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=77/100, runtime=853.69s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=78/100, runtime=853.94s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=79/100, runtime=852.73s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=80/100, runtime=853.77s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=81/100, runtime=853.83s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=82/100, runtime=854.44s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=83/100, runtime=854.06s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=84/100, runtime=854.24s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=85/100, runtime=854.22s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=86/100, runtime=849.30s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=87/100, runtime=847.50s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=88/100, runtime=845.39s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=89/100, runtime=845.39s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=90/100, runtime=845.44s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=91/100, runtime=845.37s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=92/100, runtime=845.44s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=93/100, runtime=845.57s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=94/100, runtime=845.82s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=95/100, runtime=845.78s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=96/100, runtime=854.15s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=97/100, runtime=854.09s, success=False, nit=1000, nfev=1004
