quantity,null_name,scenario,alt_type,level,statistic,estimate,mc_se,num_replicates,critical_value,success_rate,error_rate,mean_value,median_value,n,n_eval_source,n_solve,base_seed
empirical power,uniform_ball,power,mixture_contamination,0.2,mmd,0.0,0.0,1,-0.0370901624143036,1.0,0.0,-0.061819123153785,-0.061819123153785,4,16,16,2033
empirical power,uniform_ball,power,mixture_contamination,0.2,potential,0.0,0.0,1,0.3280336727174123,0.0,0.0,0.3210330170747438,0.3210330170747438,4,16,16,2033
empirical power,uniform_ball,power,mixture_contamination,0.2,w2,1.0,0.0,1,0.4780765779676139,0.0,0.0,0.541175491046938,0.541175491046938,4,16,16,2033
empirical power,uniform_ball,power,scale,1.025,mmd,0.0,0.0,1,-0.0370901624143036,1.0,0.0,-0.0892618305612149,-0.0892618305612149,4,16,16,2033
empirical power,uniform_ball,power,scale,1.025,potential,0.0,0.0,1,0.3280336727174123,0.0,0.0,0.2465956132321317,0.2465956132321317,4,16,16,2033
empirical power,uniform_ball,power,scale,1.025,w2,0.0,0.0,1,0.4780765779676139,0.0,0.0,0.4445605268353767,0.4445605268353767,4,16,16,2033
empirical power,uniform_ball,power,scale,1.05,mmd,1.0,0.0,1,-0.0370901624143036,1.0,0.0,-0.002121653043041,-0.002121653043041,4,16,16,2033
empirical power,uniform_ball,power,scale,1.05,potential,1.0,0.0,1,0.3280336727174123,1.0,0.0,0.4128757537230676,0.4128757537230676,4,16,16,2033
empirical power,uniform_ball,power,scale,1.05,w2,1.0,0.0,1,0.4780765779676139,1.0,0.0,0.6277357659150662,0.6277357659150662,4,16,16,2033
empirical power,uniform_ball,power,scale,1.075,mmd,0.0,0.0,1,-0.0370901624143036,1.0,0.0,-0.0720069615158531,-0.0720069615158531,4,16,16,2033
empirical power,uniform_ball,power,scale,1.075,potential,0.0,0.0,1,0.3280336727174123,1.0,0.0,0.2216281142355793,0.2216281142355793,4,16,16,2033
empirical power,uniform_ball,power,scale,1.075,w2,0.0,0.0,1,0.4780765779676139,1.0,0.0,0.4380042398403231,0.4380042398403231,4,16,16,2033
empirical power,uniform_ball,power,scale,1.1,mmd,0.0,0.0,1,-0.0370901624143036,1.0,0.0,-0.0625058519359302,-0.0625058519359302,4,16,16,2033
empirical power,uniform_ball,power,scale,1.1,potential,0.0,0.0,1,0.3280336727174123,1.0,0.0,0.3112303204280223,0.3112303204280223,4,16,16,2033
empirical power,uniform_ball,power,scale,1.1,w2,1.0,0.0,1,0.4780765779676139,1.0,0.0,0.4898444523959394,0.4898444523959394,4,16,16,2033
empirical power,uniform_ball,power,scale,1.15,mmd,1.0,0.0,1,-0.0370901624143036,1.0,0.0,0.0903488258523554,0.0903488258523554,4,16,16,2033
empirical power,uniform_ball,power,scale,1.15,potential,1.0,0.0,1,0.3280336727174123,0.0,0.0,0.4863856484494839,0.4863856484494839,4,16,16,2033
empirical power,uniform_ball,power,scale,1.15,w2,1.0,0.0,1,0.4780765779676139,0.0,0.0,0.8515401734326987,0.8515401734326987,4,16,16,2033
empirical power,uniform_ball,power,scale,1.2,mmd,1.0,0.0,1,-0.0370901624143036,1.0,0.0,0.1164080291942895,0.1164080291942895,4,16,16,2033
empirical power,uniform_ball,power,scale,1.2,potential,1.0,0.0,1,0.3280336727174123,0.0,0.0,0.5638407138936402,0.5638407138936402,4,16,16,2033
empirical power,uniform_ball,power,scale,1.2,w2,1.0,0.0,1,0.4780765779676139,0.0,0.0,0.9056183664948476,0.9056183664948476,4,16,16,2033
