n,n_eval_source,n_solve,base_seed,null_name,scenario,statistic,num_rows,mean_runtime_seconds,median_runtime_seconds,max_runtime_seconds,success_rate
4,16,16,2033,uniform_ball,calibration,mmd,2,0.11362493038177485,0.11362493038177485,0.1652183532714843,1.0
4,16,16,2033,uniform_ball,calibration,potential,2,0.11361658573150629,0.11361658573150629,0.1652100086212158,1.0
4,16,16,2033,uniform_ball,calibration,w2,2,0.1136214733123779,0.1136214733123779,0.1652147769927978,1.0
4,16,16,2033,uniform_ball,power,mmd,18,0.0012724002202351278,0.0012686252593993499,0.0018806457519531,1.0
4,16,16,2033,uniform_ball,power,potential,18,0.001265247662862089,0.00126183032989495,0.0018737316131591,0.5555555555555556
4,16,16,2033,uniform_ball,power,w2,18,0.0012696186701456167,0.00126600265502925,0.001878023147583,0.5555555555555556
4,16,16,2033,uniform_ball,size,mmd,2,0.010571360588073701,0.010571360588073701,0.0204396247863769,1.0
4,16,16,2033,uniform_ball,size,potential,2,0.0105634927749633,0.0105634927749633,0.020430564880371,0.5
4,16,16,2033,uniform_ball,size,w2,2,0.01056826114654535,0.01056826114654535,0.0204360485076904,0.5
